annotation_count,api_path,artist_names,full_title,header_image_thumbnail_url,header_image_url,id,lyrics_owner_id,lyrics_state,path,pyongs_count,relationships_index_url,release_date_components,release_date_for_display,release_date_with_abbreviated_month_for_display,song_art_image_thumbnail_url,song_art_image_url,stats,title,title_with_featured,url,featured_artists,primary_artist,stat_unreviewed_annotations,stat_concurrents,stat_hot,stat_pageviews,primary_artist_api_path,primary_artist_header_image_url,primary_artist_id,primary_artist_image_url,primary_artist_is_meme_verified,primary_artist_is_verified,primary_artist_name,primary_artist_url,primary_artist_iq
43,/songs/7076626,Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) [From The Vault] by Taylor Swift,https://images.genius.com/aac8ea3f13ae887a7f1fd9cdd451374e.300x300x1.png,https://images.genius.com/aac8ea3f13ae887a7f1fd9cdd451374e.1000x1000x1.png,7076626,12603744,complete,/Taylor-swift-all-too-well-10-minute-version-taylors-version-from-the-vault-lyrics,219,https://genius.com/Taylor-swift-all-too-well-10-minute-version-taylors-version-from-the-vault-sample,"{'year': 2021, 'month': 11, 'day': 12}","November 12, 2021","Nov. 12, 2021",https://images.genius.com/9dd4ba749dd51d39d7b56b67b9cc3777.300x300x1.jpg,https://images.genius.com/9dd4ba749dd51d39d7b56b67b9cc3777.1000x1000x1.jpg,"{'unreviewed_annotations': 6, 'concurrents': 11, 'hot': False, 'pageviews': 4365471}",All Too Well (10 Minute Version) (Taylor’s Version) [From The Vault],All Too Well (10 Minute Version) (Taylor's Version) [From The Vault],https://genius.com/Taylor-swift-all-too-well-10-minute-version-taylors-version-from-the-vault-lyrics,[],"{'api_path': '/artists/1177', 'header_image_url': 'https://images.genius.com/5c2c1c282f5e80f4db678e685a007a34.1000x333x1.jpg', 'id': 1177, 'image_url': 'https://images.genius.com/81985fb62e4b6edca0f659281b8faa2e.400x400x1.jpg', 'is_meme_verified': True, 'is_verified': True, 'name': 'Taylor Swift', 'url': 'https://genius.com/artists/Taylor-swift', 'iq': 1544}",6,11.0,False,4365471,/artists/1177,https://images.genius.com/5c2c1c282f5e80f4db678e685a007a34.1000x333x1.jpg,1177,https://images.genius.com/81985fb62e4b6edca0f659281b8faa2e.400x400x1.jpg,True,True,Taylor Swift,https://genius.com/artists/Taylor-swift,1544.0
34,/songs/7394358,Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) [Live Acoustic] by Taylor Swift,https://images.genius.com/fb18a1248bb4cd26893dea7e3610b0d5.300x300x1.jpg,https://images.genius.com/fb18a1248bb4cd26893dea7e3610b0d5.1000x1000x1.jpg,7394358,6878633,complete,/Taylor-swift-all-too-well-10-minute-version-taylors-version-live-acoustic-lyrics,52,https://genius.com/Taylor-swift-all-too-well-10-minute-version-taylors-version-live-acoustic-sample,"{'year': 2021, 'month': 11, 'day': 15}","November 15, 2021","Nov. 15, 2021",https://images.genius.com/fb18a1248bb4cd26893dea7e3610b0d5.300x300x1.jpg,https://images.genius.com/fb18a1248bb4cd26893dea7e3610b0d5.1000x1000x1.jpg,"{'unreviewed_annotations': 6, 'concurrents': 5, 'hot': False, 'pageviews': 3704690}",All Too Well (10 Minute Version) (Taylor’s Version) [Live Acoustic],All Too Well (10 Minute Version) (Taylor's Version) [Live Acoustic],https://genius.com/Taylor-swift-all-too-well-10-minute-version-taylors-version-live-acoustic-lyrics,[],"{'api_path': '/artists/1177', 'header_image_url': 'https://images.genius.com/5c2c1c282f5e80f4db678e685a007a34.1000x333x1.jpg', 'id': 1177, 'image_url': 'https://images.genius.com/81985fb62e4b6edca0f659281b8faa2e.400x400x1.jpg', 'is_meme_verified': True, 'is_verified': True, 'name': 'Taylor Swift', 'url': 'https://genius.com/artists/Taylor-swift', 'iq': 1544}",6,5.0,False,3704690,/artists/1177,https://images.genius.com/5c2c1c282f5e80f4db678e685a007a34.1000x333x1.jpg,1177,https://images.genius.com/81985fb62e4b6edca0f659281b8faa2e.400x400x1.jpg,True,True,Taylor Swift,https://genius.com/artists/Taylor-swift,1544.0
26,/songs/5793984,Taylor Swift,​cardigan by Taylor Swift,https://images.genius.com/282838f51b2395aba0e0084dd02f1774.300x300x1.png,https://images.genius.com/282838f51b2395aba0e0084dd02f1774.1000x1000x1.png,5793984,5748418,complete,/Taylor-swift-cardigan-lyrics,171,https://genius.com/Taylor-swift-cardigan-sample,"{'year': 2020, 'month': 7, 'day': 24}","July 24, 2020","Jul. 24, 2020",https://images.genius.com/8c6b44171caaa726820cce35ad8b066e.300x300x1.png,https://images.genius.com/8c6b44171caaa726820cce35ad8b066e.1000x1000x1.png,"{'unreviewed_annotations': 0, 'concurrents': 4, 'hot': False, 'pageviews': 3160955}",​cardigan,​cardigan,https://genius.com/Taylor-swift-cardigan-lyrics,[],"{'api_path': '/artists/1177', 'header_image_url': 'https://images.genius.com/5c2c1c282f5e80f4db678e685a007a34.1000x333x1.jpg', 'id': 1177, 'image_url': 'https://images.genius.com/81985fb62e4b6edca0f659281b8faa2e.400x400x1.jpg', 'is_meme_verified': True, 'is_verified': True, 'name': 'Taylor Swift', 'url': 'https://genius.com/artists/Taylor-swift', 'iq': 1544}",0,4.0,False,3160955,/artists/1177,https://images.genius.com/5c2c1c282f5e80f4db678e685a007a34.1000x333x1.jpg,1177,https://images.genius.com/81985fb62e4b6edca0f659281b8faa2e.400x400x1.jpg,True,True,Taylor Swift,https://genius.com/artists/Taylor-swift,1544.0
14,/songs/5793983,Taylor Swift (Ft. Bon Iver),​exile by Taylor Swift (Ft. Bon Iver),https://images.genius.com/4a6a06f7e361703062b0db46d0e4ec36.300x300x1.png,https://images.genius.com/4a6a06f7e361703062b0db46d0e4ec36.1000x1000x1.png,5793983,3995752,complete,/Taylor-swift-exile-lyrics,110,https://genius.com/Taylor-swift-exile-sample,"{'year': 2020, 'month': 7, 'day': 24}","July 24, 2020","Jul. 24, 2020",https://images.genius.com/4a6a06f7e361703062b0db46d0e4ec36.300x300x1.png,https://images.genius.com/4a6a06f7e361703062b0db46d0e4ec36.1000x1000x1.png,"{'unreviewed_annotations': 2, 'concurrents': 3, 'hot': False, 'pageviews': 2610204}",​exile,​exile (Ft. Bon Iver),https://genius.com/Taylor-swift-exile-lyrics,"[{'api_path': '/artists/589', 'header_image_url': 'https://images.genius.com/68ae4abb1941980b728eea32c64e11ed.975x180x1.png', 'id': 589, 'image_url': 'https://images.genius.com/f2314f39e56a73d1fb5a716bbe154556.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Bon Iver', 'url': 'https://genius.com/artists/Bon-iver'}]","{'api_path': '/artists/1177', 'header_image_url': 'https://images.genius.com/5c2c1c282f5e80f4db678e685a007a34.1000x333x1.jpg', 'id': 1177, 'image_url': 'https://images.genius.com/81985fb62e4b6edca0f659281b8faa2e.400x400x1.jpg', 'is_meme_verified': True, 'is_verified': True, 'name': 'Taylor Swift', 'url': 'https://genius.com/artists/Taylor-swift', 'iq': 1544}",2,3.0,False,2610204,/artists/1177,https://images.genius.com/5c2c1c282f5e80f4db678e685a007a34.1000x333x1.jpg,1177,https://images.genius.com/81985fb62e4b6edca0f659281b8faa2e.400x400x1.jpg,True,True,Taylor Swift,https://genius.com/artists/Taylor-swift,1544.0
20,/songs/4508914,Taylor Swift,Lover by Taylor Swift,https://images.genius.com/9c29b54daed86f6243dac0fee0b20bb6.300x300x1.jpg,https://images.genius.com/9c29b54daed86f6243dac0fee0b20bb6.1000x1000x1.jpg,4508914,8664184,complete,/Taylor-swift-lover-lyrics,134,https://genius.com/Taylor-swift-lover-sample,"{'year': 2019, 'month': 8, 'day': 16}","August 16, 2019","Aug. 16, 2019",https://images.genius.com/ef7309e1b3e6fae42a331b84076f68e6.300x300x1.jpg,https://images.genius.com/ef7309e1b3e6fae42a331b84076f68e6.1000x1000x1.jpg,"{'unreviewed_annotations': 1, 'concurrents': 2, 'hot': False, 'pageviews': 2497846}",Lover,Lover,https://genius.com/Taylor-swift-lover-lyrics,[],"{'api_path': '/artists/1177', 'header_image_url': 'https://images.genius.com/5c2c1c282f5e80f4db678e685a007a34.1000x333x1.jpg', 'id': 1177, 'image_url': 'https://images.genius.com/81985fb62e4b6edca0f659281b8faa2e.400x400x1.jpg', 'is_meme_verified': True, 'is_verified': True, 'name': 'Taylor Swift', 'url': 'https://genius.com/artists/Taylor-swift', 'iq': 1544}",1,2.0,False,2497846,/artists/1177,https://images.genius.com/5c2c1c282f5e80f4db678e685a007a34.1000x333x1.jpg,1177,https://images.genius.com/81985fb62e4b6edca0f659281b8faa2e.400x400x1.jpg,True,True,Taylor Swift,https://genius.com/artists/Taylor-swift,1544.0
26,/songs/9538404,Taylor Swift,Is It Over Now? (Taylor's Version) [From The Vault] by Taylor Swift,https://images.genius.com/a7c0bb49114dc476947df4375fb2ca0b.300x300x1.png,https://images.genius.com/a7c0bb49114dc476947df4375fb2ca0b.1000x1000x1.png,9538404,17904299,complete,/Taylor-swift-is-it-over-now-taylors-version-from-the-vault-lyrics,4,https://genius.com/Taylor-swift-is-it-over-now-taylors-version-from-the-vault-sample,"{'year': 2023, 'month': 10, 'day': 27}","October 27, 2023","Oct. 27, 2023",https://images.genius.com/a7c0bb49114dc476947df4375fb2ca0b.300x300x1.png,https://images.genius.com/a7c0bb49114dc476947df4375fb2ca0b.1000x1000x1.png,"{'unreviewed_annotations': 11, 'concurrents': 3, 'hot': False, 'pageviews': 2372280}",Is It Over Now? (Taylor’s Version) [From The Vault],Is It Over Now? (Taylor's Version) [From The Vault],https://genius.com/Taylor-swift-is-it-over-now-taylors-version-from-the-vault-lyrics,[],"{'api_path': '/artists/1177', 'header_image_url': 'https://images.genius.com/5c2c1c282f5e80f4db678e685a007a34.1000x333x1.jpg', 'id': 1177, 'image_url': 'https://images.genius.com/81985fb62e4b6edca0f659281b8faa2e.400x400x1.jpg', 'is_meme_verified': True, 'is_verified': True, 'name': 'Taylor Swift', 'url': 'https://genius.com/artists/Taylor-swift', 'iq': 1544}",11,3.0,False,2372280,/artists/1177,https://images.genius.com/5c2c1c282f5e80f4db678e685a007a34.1000x333x1.jpg,1177,https://images.genius.com/81985fb62e4b6edca0f659281b8faa2e.400x400x1.jpg,True,True,Taylor Swift,https://genius.com/artists/Taylor-swift,1544.0
16,/songs/5794073,Taylor Swift,​the 1 by Taylor Swift,https://images.genius.com/4a6a06f7e361703062b0db46d0e4ec36.300x300x1.png,https://images.genius.com/4a6a06f7e361703062b0db46d0e4ec36.1000x1000x1.png,5794073,4335922,complete,/Taylor-swift-the-1-lyrics,102,https://genius.com/Taylor-swift-the-1-sample,"{'year': 2020, 'month': 7, 'day': 24}","July 24, 2020","Jul. 24, 2020",https://images.genius.com/4a6a06f7e361703062b0db46d0e4ec36.300x300x1.png,https://images.genius.com/4a6a06f7e361703062b0db46d0e4ec36.1000x1000x1.png,"{'unreviewed_annotations': 0, 'concurrents': 2, 'hot': False, 'pageviews': 2384722}",​the 1,​the 1,https://genius.com/Taylor-swift-the-1-lyrics,[],"{'api_path': '/artists/1177', 'header_image_url': 'https://images.genius.com/5c2c1c282f5e80f4db678e685a007a34.1000x333x1.jpg', 'id': 1177, 'image_url': 'https://images.genius.com/81985fb62e4b6edca0f659281b8faa2e.400x400x1.jpg', 'is_meme_verified': True, 'is_verified': True, 'name': 'Taylor Swift', 'url': 'https://genius.com/artists/Taylor-swift', 'iq': 1544}",0,2.0,False,2384722,/artists/1177,https://images.genius.com/5c2c1c282f5e80f4db678e685a007a34.1000x333x1.jpg,1177,https://images.genius.com/81985fb62e4b6edca0f659281b8faa2e.400x400x1.jpg,True,True,Taylor Swift,https://genius.com/artists/Taylor-swift,1544.0
11,/songs/5793977,Taylor Swift,​august by Taylor Swift,https://images.genius.com/4a6a06f7e361703062b0db46d0e4ec36.300x300x1.png,https://images.genius.com/4a6a06f7e361703062b0db46d0e4ec36.1000x1000x1.png,5793977,93685,complete,/Taylor-swift-august-lyrics,124,https://genius.com/Taylor-swift-august-sample,"{'year': 2020, 'month': 7, 'day': 24}","July 24, 2020","Jul. 24, 2020",https://images.genius.com/4a6a06f7e361703062b0db46d0e4ec36.300x300x1.png,https://images.genius.com/4a6a06f7e361703062b0db46d0e4ec36.1000x1000x1.png,"{'unreviewed_annotations': 1, 'concurrents': 2, 'hot': False, 'pageviews': 2215669}",​august,​august,https://genius.com/Taylor-swift-august-lyrics,[],"{'api_path': '/artists/1177', 'header_image_url': 'https://images.genius.com/5c2c1c282f5e80f4db678e685a007a34.1000x333x1.jpg', 'id': 1177, 'image_url': 'https://images.genius.com/81985fb62e4b6edca0f659281b8faa2e.400x400x1.jpg', 'is_meme_verified': True, 'is_verified': True, 'name': 'Taylor Swift', 'url': 'https://genius.com/artists/Taylor-swift', 'iq': 1544}",1,2.0,False,2215669,/artists/1177,https://images.genius.com/5c2c1c282f5e80f4db678e685a007a34.1000x333x1.jpg,1177,https://images.genius.com/81985fb62e4b6edca0f659281b8faa2e.400x400x1.jpg,True,True,Taylor Swift,https://genius.com/artists/Taylor-swift,1544.0
13,/songs/3210592,Taylor Swift,Look What You Made Me Do by Taylor Swift,https://images.genius.com/01c5bf888fa73a6b25fb2dee1b4035ff.300x300x1.png,https://images.genius.com/01c5bf888fa73a6b25fb2dee1b4035ff.1000x1000x1.png,3210592,2171344,complete,/Taylor-swift-look-what-you-made-me-do-lyrics,237,https://genius.com/Taylor-swift-look-what-you-made-me-do-sample,"{'year': 2017, 'month': 8, 'day': 25}","August 25, 2017","Aug. 25, 2017",https://images.genius.com/0a1e9278ea8bdecbbba6c3ff901f76ca.300x300x1.jpg,https://images.genius.com/0a1e9278ea8bdecbbba6c3ff901f76ca.1000x1000x1.jpg,"{'unreviewed_annotations': 0, 'hot': False, 'pageviews': 2039470}",Look What You Made Me Do,Look What You Made Me Do,https://genius.com/Taylor-swift-look-what-you-made-me-do-lyrics,[],"{'api_path': '/artists/1177', 'header_image_url': 'https://images.genius.com/5c2c1c282f5e80f4db678e685a007a34.1000x333x1.jpg', 'id': 1177, 'image_url': 'https://images.genius.com/81985fb62e4b6edca0f659281b8faa2e.400x400x1.jpg', 'is_meme_verified': True, 'is_verified': True, 'name': 'Taylor Swift', 'url': 'https://genius.com/artists/Taylor-swift', 'iq': 1544}",0,,False,2039470,/artists/1177,https://images.genius.com/5c2c1c282f5e80f4db678e685a007a34.1000x333x1.jpg,1177,https://images.genius.com/81985fb62e4b6edca0f659281b8faa2e.400x400x1.jpg,True,True,Taylor Swift,https://genius.com/artists/Taylor-swift,1544.0
19,/songs/4712978,Taylor Swift,Cruel Summer by Taylor Swift,https://images.genius.com/3dce13a448e22554ed04246ec06e3207.300x300x1.jpg,https://images.genius.com/3dce13a448e22554ed04246ec06e3207.1000x1000x1.jpg,4712978,6942602,complete,/Taylor-swift-cruel-summer-lyrics,103,https://genius.com/Taylor-swift-cruel-summer-sample,"{'year': 2019, 'month': 8, 'day': 23}","August 23, 2019","Aug. 23, 2019",https://images.genius.com/8109424a2bb5b226dbb3482466d51e34.300x300x1.png,https://images.genius.com/8109424a2bb5b226dbb3482466d51e34.1000x1000x1.png,"{'unreviewed_annotations': 0, 'hot': False, 'pageviews': 2037429}",Cruel Summer,Cruel Summer,https://genius.com/Taylor-swift-cruel-summer-lyrics,[],"{'api_path': '/artists/1177', 'header_image_url': 'https://images.genius.com/5c2c1c282f5e80f4db678e685a007a34.1000x333x1.jpg', 'id': 1177, 'image_url': 'https://images.genius.com/81985fb62e4b6edca0f659281b8faa2e.400x400x1.jpg', 'is_meme_verified': True, 'is_verified': True, 'name': 'Taylor Swift', 'url': 'https://genius.com/artists/Taylor-swift', 'iq': 1544}",0,,False,2037429,/artists/1177,https://images.genius.com/5c2c1c282f5e80f4db678e685a007a34.1000x333x1.jpg,1177,https://images.genius.com/81985fb62e4b6edca0f659281b8faa2e.400x400x1.jpg,True,True,Taylor Swift,https://genius.com/artists/Taylor-swift,1544.0
